name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	69355	68533	822	0	10	0	35110	35110	11860	639	631	1337	1002	951	2961	1700	1690	10430	5130	4730	11680	t < 800 ms	59561	85	800 ms < t < 1200 ms	2357	3	t > 1200 ms	6615	9	failed	822	1	8	8	0
Init	201	199	2	62350	62350	76250	88150	65820	88150	63441	63252	82200	0	0	0	64450	64400	88150	65820	64950	88150	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	199	99	failed	2	0	0	0	0
Init / request_1	201	199	2	1590	1590	11470	11680	3910	11680	1957	1860	11575	1010	305	105	2100	2070	11680	3910	3860	11680	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	199	99	failed	2	0	0	0	0
Init / request_2	201	201	0	310	310	-1	1690	1690	-1	391	391	-1	135	135	-1	510	510	-1	760	760	-1	t < 800 ms	199	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	2	0	failed	0	0	0	0	-1
Init / request_2 Redirect 1	201	201	0	460	460	-1	1960	1960	-1	548	548	-1	156	156	-1	730	730	-1	1110	1110	-1	t < 800 ms	194	96	800 ms < t < 1200 ms	5	2	t > 1200 ms	2	0	failed	0	0	0	0	-1
Init / request_3	201	199	2	360	470	360	10420	820	10420	598	550	5390	698	69	5030	680	680	10420	780	770	10420	t < 800 ms	198	98	800 ms < t < 1200 ms	1	0	t > 1200 ms	0	0	failed	2	0	0	0	0
Init / request_4	201	199	2	510	510	1570	1780	1140	1780	723	714	1675	128	81	105	850	840	1780	1140	970	1780	t < 800 ms	171	85	800 ms < t < 1200 ms	28	13	t > 1200 ms	0	0	failed	2	0	0	0	0
Init / request_5	201	201	0	310	310	-1	1910	1910	-1	391	391	-1	159	159	-1	470	470	-1	1200	1200	-1	t < 800 ms	197	98	800 ms < t < 1200 ms	2	0	t > 1200 ms	2	0	failed	0	0	0	0	-1
Init / request_5 Redirect 1	201	201	0	470	470	-1	900	900	-1	552	552	-1	83	83	-1	710	710	-1	820	820	-1	t < 800 ms	198	98	800 ms < t < 1200 ms	3	1	t > 1200 ms	0	0	failed	0	0	0	0	-1
Init / request_6	201	200	1	340	650	340	1640	1640	340	798	800	340	157	156	0	1130	1130	340	1390	1390	340	t < 800 ms	120	59	800 ms < t < 1200 ms	74	36	t > 1200 ms	6	2	failed	1	0	0	0	0
Init / request_7	201	201	0	460	460	-1	1640	1640	-1	562	562	-1	120	120	-1	720	720	-1	1040	1040	-1	t < 800 ms	196	97	800 ms < t < 1200 ms	4	1	t > 1200 ms	1	0	failed	0	0	0	0	-1
Init / request_8	201	200	1	310	310	370	770	770	370	398	398	370	62	63	0	510	510	370	610	610	370	t < 800 ms	200	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	1	0	0	0	0
