name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Certificate Search / request_186	1005	1003	2	20	600	20	19170	19170	14850	2562	2552	7435	1990	1953	7415	6280	6240	14850	10670	10460	14850	t < 800 ms	20	1	800 ms < t < 1200 ms	187	18	t > 1200 ms	796	79	failed	2	0	0	0	0
Certificate Search / request_187	1005	1005	0	310	310	-1	9680	9680	-1	1400	1400	-1	1503	1503	-1	4760	4760	-1	6430	6430	-1	t < 800 ms	560	55	800 ms < t < 1200 ms	89	8	t > 1200 ms	356	35	failed	0	0	0	0	-1
Certificate Search / request_188	1005	1004	1	320	320	13460	19590	19590	13460	1585	1573	13460	1994	1959	0	5050	5050	13460	9930	9710	13460	t < 800 ms	518	51	800 ms < t < 1200 ms	93	9	t > 1200 ms	393	39	failed	1	0	0	0	0
Certificate Search / request_189	1005	1003	2	310	310	13710	18720	18720	16900	1655	1628	15305	2038	1945	1595	5240	5000	16900	9620	9280	16900	t < 800 ms	497	49	800 ms < t < 1200 ms	100	9	t > 1200 ms	406	40	failed	2	0	0	0	0
Certificate Search / request_190	1005	1005	0	310	310	-1	21280	21280	-1	1617	1617	-1	1900	1900	-1	5250	5250	-1	9250	9250	-1	t < 800 ms	474	47	800 ms < t < 1200 ms	123	12	t > 1200 ms	408	40	failed	0	0	0	0	-1
Certificate Search / request_191	1005	999	6	870	870	13560	60000	54230	60000	11369	11169	44582	6646	7219	0	37430	36240	60000	48410	47440	60000	t < 800 ms	0	0	800 ms < t < 1200 ms	1	0	t > 1200 ms	998	99	failed	6	0	0	0	0
Certificate Search / request_192	1005	1005	0	310	310	-1	17570	17570	-1	1350	1350	-1	1415	1415	-1	4010	4010	-1	5790	5790	-1	t < 800 ms	532	52	800 ms < t < 1200 ms	107	10	t > 1200 ms	366	36	failed	0	0	0	0	-1
Certificate Search / request_193	1005	1005	0	310	310	-1	16620	16620	-1	1571	1571	-1	1683	1683	-1	4680	4680	-1	7340	7340	-1	t < 800 ms	494	49	800 ms < t < 1200 ms	73	7	t > 1200 ms	438	43	failed	0	0	0	0	-1
Certificate Search / request_194	1005	1005	0	310	310	-1	15180	15180	-1	1585	1585	-1	1804	1804	-1	4930	4930	-1	8650	8650	-1	t < 800 ms	493	49	800 ms < t < 1200 ms	80	7	t > 1200 ms	432	42	failed	0	0	0	0	-1
Certificate Search / request_195	1005	1005	0	310	310	-1	16170	16170	-1	1642	1642	-1	1894	1894	-1	5140	5140	-1	8940	8940	-1	t < 800 ms	477	47	800 ms < t < 1200 ms	98	9	t > 1200 ms	430	42	failed	0	0	0	0	-1
Certificate Search / request_196	1005	1005	0	330	330	-1	17010	17010	-1	1902	1902	-1	2149	2149	-1	5610	5610	-1	10990	10990	-1	t < 800 ms	382	38	800 ms < t < 1200 ms	125	12	t > 1200 ms	498	49	failed	0	0	0	0	-1
Certificate Search / request_197	1005	1005	0	310	310	-1	8280	8280	-1	1370	1370	-1	1279	1279	-1	3910	3910	-1	5570	5570	-1	t < 800 ms	501	49	800 ms < t < 1200 ms	100	9	t > 1200 ms	404	40	failed	0	0	0	0	-1
Certificate Search / request_198	1005	1004	1	310	310	10360	21840	21840	10360	1665	1656	10360	2151	2135	0	5230	5150	10360	10410	10410	10360	t < 800 ms	481	47	800 ms < t < 1200 ms	105	10	t > 1200 ms	418	41	failed	1	0	0	0	0
Certificate Search / request_199	1005	1005	0	310	310	-1	15420	15420	-1	1761	1761	-1	2045	2045	-1	6090	6090	-1	10120	10120	-1	t < 800 ms	460	45	800 ms < t < 1200 ms	84	8	t > 1200 ms	461	45	failed	0	0	0	0	-1
Certificate Search / request_200	1005	1004	1	310	310	12460	21380	21380	12460	1851	1841	12460	2107	2081	0	5640	5610	12460	10360	10360	12460	t < 800 ms	419	41	800 ms < t < 1200 ms	99	9	t > 1200 ms	486	48	failed	1	0	0	0	0
Certificate Search / request_174 Redirect 1	3	3	0	1150	1150	-1	4390	4390	-1	2747	2747	-1	1322	1322	-1	4390	4390	-1	4390	4390	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	1	33	t > 1200 ms	2	66	failed	0	0	0	0	-1
Certificate Search / request_175 Redirect 1	3	3	0	650	650	-1	2510	2510	-1	1687	1687	-1	773	773	-1	2510	2510	-1	2510	2510	-1	t < 800 ms	1	33	800 ms < t < 1200 ms	0	0	t > 1200 ms	2	66	failed	0	0	0	0	-1
Certificate Search / request_176 Redirect 1	3	3	0	1350	1350	-1	2210	2210	-1	1793	1793	-1	353	353	-1	2210	2210	-1	2210	2210	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	100	failed	0	0	0	0	-1
Certificate Search / request_177 Redirect 1	3	3	0	850	850	-1	2060	2060	-1	1600	1600	-1	535	535	-1	2060	2060	-1	2060	2060	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	1	33	t > 1200 ms	2	66	failed	0	0	0	0	-1
