name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	54148	54143	5	0	0	120	60000	58540	60000	1502	1499	36064	3290	3298	0	6220	6220	60000	19130	19120	60000	t < 800 ms	34048	62	800 ms < t < 1200 ms	4278	7	t > 1200 ms	15817	29	failed	5	0	72	72	0
loginPage	201	201	0	1150	1150	-1	16700	16700	-1	5246	5246	-1	4341	4341	-1	13500	13500	-1	16200	16200	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	27	13	t > 1200 ms	174	86	failed	0	0	0	0	-1
loginPage / request_1	201	201	0	0	0	-1	4900	4900	-1	815	815	-1	1083	1083	-1	3380	3380	-1	4790	4790	-1	t < 800 ms	135	67	800 ms < t < 1200 ms	22	10	t > 1200 ms	44	21	failed	0	0	0	0	-1
loginPage / request_1 Redirect 1	201	201	0	10	10	-1	4810	4810	-1	579	579	-1	775	775	-1	2270	2270	-1	3180	3180	-1	t < 800 ms	155	77	800 ms < t < 1200 ms	15	7	t > 1200 ms	31	15	failed	0	0	0	0	-1
loginPage / request_2	201	201	0	10	10	-1	4310	4310	-1	650	650	-1	941	941	-1	2870	2870	-1	4230	4230	-1	t < 800 ms	156	77	800 ms < t < 1200 ms	16	7	t > 1200 ms	29	14	failed	0	0	0	0	-1
loginPage / request_3	201	201	0	0	0	-1	4130	4130	-1	590	590	-1	817	817	-1	2380	2380	-1	3750	3750	-1	t < 800 ms	148	73	800 ms < t < 1200 ms	28	13	t > 1200 ms	25	12	failed	0	0	0	0	-1
loginPage / request_4	201	201	0	0	0	-1	2020	2020	-1	182	182	-1	284	284	-1	780	780	-1	1190	1190	-1	t < 800 ms	191	95	800 ms < t < 1200 ms	8	3	t > 1200 ms	2	0	failed	0	0	0	0	-1
loginPage / request_5	201	201	0	10	10	-1	5420	5420	-1	1180	1180	-1	1437	1437	-1	4480	4480	-1	5190	5190	-1	t < 800 ms	112	55	800 ms < t < 1200 ms	25	12	t > 1200 ms	64	31	failed	0	0	0	0	-1
loginPage / request_6	201	201	0	0	0	-1	2020	2020	-1	126	126	-1	257	257	-1	610	610	-1	1150	1150	-1	t < 800 ms	195	97	800 ms < t < 1200 ms	4	1	t > 1200 ms	2	0	failed	0	0	0	0	-1
login	201	201	0	5150	5150	-1	30250	30250	-1	15474	15474	-1	8927	8927	-1	28690	28690	-1	29550	29550	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	201	100	failed	0	0	0	0	-1
login / request_7	201	201	0	350	350	-1	1360	1360	-1	372	372	-1	133	133	-1	360	360	-1	1350	1350	-1	t < 800 ms	196	97	800 ms < t < 1200 ms	2	0	t > 1200 ms	3	1	failed	0	0	0	0	-1
login / request_8	201	201	0	20	20	-1	5070	5070	-1	1008	1008	-1	1062	1062	-1	3060	3060	-1	4780	4780	-1	t < 800 ms	110	54	800 ms < t < 1200 ms	30	14	t > 1200 ms	61	30	failed	0	0	0	0	-1
login / request_8 Redirect 1	201	201	0	30	30	-1	4230	4230	-1	828	828	-1	826	826	-1	2490	2490	-1	3130	3130	-1	t < 800 ms	127	63	800 ms < t < 1200 ms	17	8	t > 1200 ms	57	28	failed	0	0	0	0	-1
login / request_10	201	201	0	0	0	-1	5110	5110	-1	692	692	-1	836	836	-1	2740	2740	-1	3740	3740	-1	t < 800 ms	129	64	800 ms < t < 1200 ms	38	18	t > 1200 ms	34	16	failed	0	0	0	0	-1
login / request_9	201	201	0	0	0	-1	4750	4750	-1	604	604	-1	724	724	-1	1600	1600	-1	4010	4010	-1	t < 800 ms	139	69	800 ms < t < 1200 ms	37	18	t > 1200 ms	25	12	failed	0	0	0	0	-1
login / request_11	201	201	0	10	10	-1	5160	5160	-1	935	935	-1	1321	1321	-1	4770	4770	-1	5130	5130	-1	t < 800 ms	136	67	800 ms < t < 1200 ms	19	9	t > 1200 ms	46	22	failed	0	0	0	0	-1
login / request_12	201	201	0	0	0	-1	1990	1990	-1	158	158	-1	244	244	-1	580	580	-1	1230	1230	-1	t < 800 ms	196	97	800 ms < t < 1200 ms	2	0	t > 1200 ms	3	1	failed	0	0	0	0	-1
